merchant_pattern,category
NYU Shanghai,Other
Huixuan Market,Groceries
Meituan,Eating Out
美团,Eating Out
Shanghai Ruisheng Industry & Trade,Utilities & Services
滴滴出行,Transportation
DiDi,Transportation
C-Store,Groceries
哈啰出行,Transportation
Taobao Platform Merchant,Shopping
淘宝闪购,Shopping
淘宝,Shopping
上海申通地铁资产经营管理有限公司,Transportation
上海地铁,Transportation
地铁,Transportation
上海都畅数字技术有限公司,Utilities & Services
FamilyMart,Groceries
Maoshi,Eating Out
Big Yellow Goose,Eating Out
McDonald's,Eating Out
BURGER KING,Eating Out
汉堡王,Eating Out
Lanzhou Beef Noodles,Eating Out
Saizeriya,Eating Out
Sydney Yuen,Eating Out
KFC,Eating Out
Hu-Zhe 7-ELEVEN,Groceries
7-ELEVEN,Groceries
LAWSON,Groceries
Pinduoduo Platform Merchant,Shopping
拼多多,Shopping
Evie,Eating Out
MUJI,Shopping
Mixue,Entertainment
HEYTEA,Eating Out
Holy Bagel,Eating Out
Habibi,Eating Out
高德打车,Transportation
哈啰,Transportation
China Mobile,Utilities & Services
Sinopec,Utilities & Services
Mojo Coffee,Eating Out
Spring Airlines,Travel
Popeys,Eating Out
Yepudu,Eating Out
KOG,Eating Out
得物,Shopping
淘天物流,Utilities & Services
Chuyi Catering,Eating Out
Elephant Smart Vending,Eating Out
O. A. OCHIR,Transfers & Gifts
Lingdong,Eating Out
Jiufen Old Street,Travel
urnma,Transfers & Gifts
