merchant_pattern,category
??War??Wolf??,???
"Dufurui (Shanghai) Commerce Co., Ltd.",???
Haode,???
"Heqing Heli (Shanghai) Catering Management Co., Ltd.",???
JUNGLEplus Guangzhou Animation Town Store,???
Jiuding Catering Mgmt,???
Juyou Wutong,???
LA BARAKA UV,???
Personal collection - Niyanbing,???
"President Chain Store (Shanghai) Convenience Co., Ltd.",???
Rongkang Shared Massage Chair,???
"Shanghai Baomao Catering Management Co., Ltd.",???
Shanghai International Travel Healthcare Center,???
Shanghai One-Stop Govt Service Payment Platform,???
"Shanghai Pumo Brand Management Co., Ltd.",???
"Shanghai Tantan Catering Management Co., Ltd.",???
"Shanghai Xiangxuehai International Trade Co., Ltd.",???
"Shanghai Yinghe Enterprise Management Co., Ltd.",???
"Shanghai Yunyi Catering Co., Ltd.",???
Su Xiaoliu,???
Ubox Anglai,???
Xiaoman Handmade Noodles,???
"Xikebao (Shanghai) Catering Service Co., Ltd.",???
"Yanasheng Jiaying Culture Communication (Hangzhou) Co., Ltd.",???
"Yunshang Zhizao (Shanghai) Technology Development Co., Ltd.",???
Zawu She,???
Zhengsanxi by Korea Street Cabin BBQ,???
ao**店,???
floating kitchen,???
wa**店,???
ws**1,???
上海优悠生活商业管理有限公司,???
上海公共交通卡股份有限公司,???
上海纽约大学,???
上海饱猫餐饮管理有限公司,???
中国移动,???
乐科智控,???
卓联（上海）餐饮服务有限公司,???
宁波市轨道交通集团有限公司线网调度分公司,???
恒品**店,???
浦东机场,???
绿联**店,???
蜜雪冰城934055店,???
高青西门市,???
鹈鹕镇大王,???
